Date,Material_Code,Material_Name,Opening_Stock_Kg,Consumption_Kg,Received_Kg,Closing_Stock_Kg,Wastage_Kg,Supplier,Unit_Cost_Rupees
2024-01-15,Steel-101,"Steel Sheet 101, Grade A",5000,1500,0,3525,25,Supplier-A,250.5
2024-01-15,Plastic-PVC,"PVC Granules, Extrusion Grade",2000,800,3000,4160,40,Supplier-B,85.75
2024-01-15,Rubber-RB,"Synthetic Rubber, High Tensile",1200,300,0,890,10,Local Vendor,150.0
2024-07-15,Steel-101,Steel Sheet 101 - 2mm,5000,1500,0,3500,50,Supplier-A,250.5
2024-07-15,Plastic-PVC,PVC Granules - Grey,2500,800,1000,2700,25,Supplier-B,85.75
2024-01-15,Steel-101,Steel Sheet 101 (Galvanized),5500,1200,0,4300,45,Supplier-A,220.5
2024-01-15,Plastic-PVC,PVC Granules (Industrial Grade),2800,1800,3000,4000,90,Supplier-B,85.75
2024-01-15,Aluminum-AL,Aluminum Ingot (Alloy 6061),1500,350,0,1150,12,Local Vendor,310.2
2024-01-15,Steel-101,Steel Sheet 101,5000,1200,0,3800,60,Supplier-A,250.0
2024-01-15,Plastic-PVC,PVC Granules,2500,800,1000,2700,40,Supplier-B,80.0
2024-01-15,Aluminum-AL,Aluminum Alloy Ingots,1800,650,5000,6150,35,Supplier-C,350.0
2024-01-15,Rubber-RB,Synthetic Rubber Compound,8000,300,0,7700,15,Local Vendor,120.0
2024-01-15,Copper-CU,Copper Wire (1mm),1200,400,2000,2800,20,Supplier-A,450.0
2024-01-01,Steel-101,Steel Sheet 101,5000,800,0,4200,25,Supplier-A,250.5
2024-01-01,Plastic-PVC,PVC Granules,8000,500,0,7500,10,Supplier-B,75.25
2024-01-02,Aluminum-AL,Aluminum Ingot,3000,300,0,2700,5,Supplier-C,350.0
2024-01-02,Rubber-RB,Synthetic Rubber Compound,2000,200,0,1800,5,Local Vendor,150.75
2024-01-03,Copper-CU,Copper Wire,1500,150,0,1350,3,Supplier-A,400.0
2024-01-03,Steel-101,Steel Sheet 101,4200,750,0,3450,20,Supplier-A,250.5
2024-01-04,Plastic-PVC,PVC Granules,7500,480,0,7020,8,Supplier-B,75.25
2024-01-04,Aluminum-AL,Aluminum Ingot,2700,280,0,2420,4,Supplier-C,350.0
2024-01-05,Rubber-RB,Synthetic Rubber Compound,1800,190,0,1610,4,Local Vendor,150.75
2024-01-05,Copper-CU,Copper Wire,1350,140,0,1210,2,Supplier-A,400.0
2024-01-06,Steel-101,Steel Sheet 101,3450,700,3000,5750,18,Supplier-A,250.5
2024-01-06,Plastic-PVC,PVC Granules,7020,450,0,6570,7,Supplier-B,75.25
2024-01-07,Aluminum-AL,Aluminum Ingot,2420,270,2000,4150,4,Supplier-C,350.0
2024-01-07,Rubber-RB,Synthetic Rubber Compound,1610,180,0,1430,3,Local Vendor,150.75
2024-01-08,Copper-CU,Copper Wire,1210,130,1500,2580,2,Supplier-A,400.0
2024-01-08,Steel-101,Steel Sheet 101,5750,650,0,5100,16,Supplier-A,250.5
2024-01-09,Plastic-PVC,PVC Granules,6570,420,0,6150,6,Supplier-B,75.25
2024-01-09,Aluminum-AL,Aluminum Ingot,4150,250,0,3900,3,Supplier-C,350.0
2024-01-10,Rubber-RB,Synthetic Rubber Compound,1430,170,2000,3260,3,Local Vendor,150.75
2024-01-10,Copper-CU,Copper Wire,2580,120,0,2460,2,Supplier-A,400.0
2024-01-11,Steel-101,Steel Sheet 101,5100,600,0,4500,15,Supplier-A,250.5
2024-01-11,Plastic-PVC,PVC Granules,6150,400,0,5750,6,Supplier-B,75.25
2024-01-12,Aluminum-AL,Aluminum Ingot,3900,240,0,3660,3,Supplier-C,350.0
2024-01-12,Rubber-RB,Synthetic Rubber Compound,3260,160,0,3100,3,Local Vendor,150.75
2024-01-13,Copper-CU,Copper Wire,2460,110,0,2350,2,Supplier-A,400.0
2024-01-13,Steel-101,Steel Sheet 101,4500,550,0,3950,14,Supplier-A,250.5
2024-01-14,Plastic-PVC,PVC Granules,5750,380,4000,9370,5,Supplier-B,75.25
2024-01-14,Aluminum-AL,Aluminum Ingot,3660,230,0,3430,3,Supplier-C,350.0
2024-01-15,Rubber-RB,Synthetic Rubber Compound,3100,150,0,2950,3,Local Vendor,150.75
2024-01-15,Copper-CU,Copper Wire,2350,100,0,2250,2,Supplier-A,400.0
2024-01-16,Steel-101,Steel Sheet 101,3950,500,5000,8450,13,Supplier-A,250.5
2024-01-16,Plastic-PVC,PVC Granules,9370,350,0,9020,5,Supplier-B,75.25
2024-01-17,Aluminum-AL,Aluminum Ingot,3430,220,0,3210,3,Supplier-C,350.0
2024-01-17,Rubber-RB,Synthetic Rubber Compound,2950,140,0,2810,2,Local Vendor,150.75
2024-01-18,Copper-CU,Copper Wire,2250,90,0,2160,1,Supplier-A,400.0
2024-01-18,Steel-101,Steel Sheet 101,8450,450,0,8000,12,Supplier-A,250.5
2024-01-19,Plastic-PVC,PVC Granules,9020,330,0,8690,5,Supplier-B,75.25
2024-01-19,Aluminum-AL,Aluminum Ingot,3210,210,0,3000,3,Supplier-C,350.0
2024-01-20,Rubber-RB,Synthetic Rubber Compound,2810,130,0,2680,2,Local Vendor,150.75
2024-01-20,Copper-CU,Copper Wire,2160,80,5000,7080,1,Supplier-A,400.0
2024-01-21,Steel-101,Steel Sheet 101,8000,400,0,7600,10,Supplier-A,250.5
2024-01-21,Plastic-PVC,PVC Granules,8690,300,0,8390,4,Supplier-B,75.25
2024-01-22,Aluminum-AL,Aluminum Ingot,3000,200,2500,5300,3,Supplier-C,350.0
2024-01-22,Rubber-RB,Synthetic Rubber Compound,2680,120,0,2560,2,Local Vendor,150.75
2024-01-23,Copper-CU,Copper Wire,7080,70,0,7010,1,Supplier-A,400.0
2024-01-23,Steel-101,Steel Sheet 101,7600,350,0,7250,9,Supplier-A,250.5
2024-01-24,Plastic-PVC,PVC Granules,8390,280,0,8110,4,Supplier-B,75.25
2024-01-24,Aluminum-AL,Aluminum Ingot,5300,190,0,5110,2,Supplier-C,350.0
2024-01-25,Rubber-RB,Synthetic Rubber Compound,2560,110,0,2450,2,Local Vendor,150.75
2024-01-25,Copper-CU,Copper Wire,7010,60,0,6950,1,Supplier-A,400.0
2024-01-26,Steel-101,Steel Sheet 101,7250,300,0,6950,8,Supplier-A,250.5
2024-01-26,Plastic-PVC,PVC Granules,8110,250,0,7860,3,Supplier-B,75.25
2024-01-27,Aluminum-AL,Aluminum Ingot,5110,180,0,4930,2,Supplier-C,350.0
2024-01-01,Steel-101,Steel Sheet 101,5000,800,0,4200,40,Supplier-A,250.5
2024-01-01,Plastic-PVC,PVC Granules,3500,600,0,2900,30,Supplier-B,85.75
2024-01-02,Aluminum-AL,Aluminum Ingot,6000,400,0,5600,20,Supplier-C,180.2
2024-01-02,Rubber-RB,Synthetic Rubber Compound,2000,300,0,1700,15,Local Vendor,120.0
2024-01-03,Copper-CU,Copper Wire,1500,250,0,1250,12,Supplier-A,400.0
2024-01-03,Steel-101,Steel Sheet 101,4200,750,0,3450,38,Supplier-A,250.5
2024-01-04,Plastic-PVC,PVC Granules,2900,550,0,2350,28,Supplier-B,85.75
2024-01-04,Aluminum-AL,Aluminum Ingot,5600,380,0,5220,19,Supplier-C,180.2
2024-01-05,Rubber-RB,Synthetic Rubber Compound,1700,280,0,1420,14,Local Vendor,120.0
2024-01-05,Copper-CU,Copper Wire,1250,230,0,1020,11,Supplier-A,400.0
2024-01-06,Steel-101,Steel Sheet 101,3450,700,2000,4750,35,Supplier-A,250.5
2024-01-06,Plastic-PVC,PVC Granules,2350,500,1000,2850,25,Supplier-B,85.75
2024-01-07,Aluminum-AL,Aluminum Ingot,5220,350,0,4870,18,Supplier-C,180.2
2024-01-07,Rubber-RB,Synthetic Rubber Compound,1420,250,1500,2670,13,Local Vendor,120.0
2024-01-08,Copper-CU,Copper Wire,1020,200,2500,3320,10,Supplier-A,400.0
2024-01-08,Steel-101,Steel Sheet 101,4750,850,0,3900,43,Supplier-A,250.5
2024-01-09,Plastic-PVC,PVC Granules,2850,650,0,2200,33,Supplier-B,85.75
2024-01-09,Aluminum-AL,Aluminum Ingot,4870,420,0,4450,21,Supplier-C,180.2
2024-01-10,Rubber-RB,Synthetic Rubber Compound,2670,320,0,2350,16,Local Vendor,120.0
2024-01-10,Copper-CU,Copper Wire,3320,270,0,3050,14,Supplier-A,400.0
2024-01-11,Steel-101,Steel Sheet 101,3900,900,3000,6000,45,Supplier-A,250.5
2024-01-11,Plastic-PVC,PVC Granules,2200,700,2000,3500,35,Supplier-B,85.75
2024-01-12,Aluminum-AL,Aluminum Ingot,4450,450,0,4000,23,Supplier-C,180.2
2024-01-12,Rubber-RB,Synthetic Rubber Compound,2350,350,0,2000,18,Local Vendor,120.0
2024-01-13,Copper-CU,Copper Wire,3050,300,0,2750,15,Supplier-A,400.0
2024-01-13,Steel-101,Steel Sheet 101,6000,820,0,5180,41,Supplier-A,250.5
2024-01-14,Plastic-PVC,PVC Granules,3500,620,0,2880,31,Supplier-B,85.75
2024-01-14,Aluminum-AL,Aluminum Ingot,4000,430,3000,6570,22,Supplier-C,180.2
2024-01-15,Rubber-RB,Synthetic Rubber Compound,2000,330,0,1670,17,Local Vendor,120.0
2024-01-15,Copper-CU,Copper Wire,2750,280,0,2470,14,Supplier-A,400.0
2024-01-16,Steel-101,Steel Sheet 101,5180,950,0,4230,48,Supplier-A,250.5
2024-01-16,Plastic-PVC,PVC Granules,2880,680,0,2200,34,Supplier-B,85.75
2024-01-17,Aluminum-AL,Aluminum Ingot,6570,460,0,6110,23,Supplier-C,180.2
2024-01-17,Rubber-RB,Synthetic Rubber Compound,1670,310,2000,3360,16,Local Vendor,120.0
2024-01-18,Copper-CU,Copper Wire,2470,290,0,2180,15,Supplier-A,400.0
2024-01-18,Steel-101,Steel Sheet 101,4230,880,0,3350,44,Supplier-A,250.5
2024-01-19,Plastic-PVC,PVC Granules,2200,660,3000,4540,33,Supplier-B,85.75
2024-01-19,Aluminum-AL,Aluminum Ingot,6110,440,0,5670,22,Supplier-C,180.2
2024-01-20,Rubber-RB,Synthetic Rubber Compound,3360,340,0,3020,17,Local Vendor,120.0
2024-01-20,Copper-CU,Copper Wire,2180,260,5000,6920,13,Supplier-A,400.0
2024-01-21,Steel-101,Steel Sheet 101,3350,780,5000,7570,39,Supplier-A,250.5
2024-01-21,Plastic-PVC,PVC Granules,4540,640,0,3900,32,Supplier-B,85.75
2024-01-22,Aluminum-AL,Aluminum Ingot,5670,410,0,5260,21,Supplier-C,180.2
2024-01-22,Rubber-RB,Synthetic Rubber Compound,3020,300,0,2720,15,Local Vendor,120.0
2024-01-23,Copper-CU,Copper Wire,6920,270,0,6650,14,Supplier-A,400.0
2024-01-23,Steel-101,Steel Sheet 101,7570,810,0,6760,41,Supplier-A,250.5
2024-01-24,Plastic-PVC,PVC Granules,3900,610,0,3290,31,Supplier-B,85.75
2024-01-24,Aluminum-AL,Aluminum Ingot,5260,400,2000,6860,20,Supplier-C,180.2
2024-01-25,Rubber-RB,Synthetic Rubber Compound,2720,290,0,2430,15,Local Vendor,120.0
2024-01-25,Copper-CU,Copper Wire,6650,250,0,6400,13,Supplier-A,400.0
2024-01-01,Steel-101,Steel Sheet 101,5000,800,0,4200,20,Supplier-A,250.0
2024-01-02,Plastic-PVC,PVC Granules,3000,500,0,2500,15,Supplier-B,80.0
2024-01-03,Aluminum-AL,Aluminum Ingot,2000,300,0,1700,8,Supplier-C,300.0
2024-01-04,Rubber-RB,Synthetic Rubber Roll,1500,200,0,1300,5,Local Vendor,150.0
2024-01-05,Copper-CU,Copper Wire,1000,150,0,850,3,Supplier-A,400.0
2024-01-06,Steel-101,Steel Sheet 101,4200,900,0,3300,25,Supplier-A,250.0
2024-01-07,Plastic-PVC,PVC Granules,2500,600,0,1900,18,Supplier-B,80.0
2024-01-08,Aluminum-AL,Aluminum Ingot,1700,400,0,1300,10,Supplier-C,300.0
