Maintenance_Date,Machine,Maintenance_Type,Breakdown_Date,Downtime_Hours,Issue_Description,Technician,Parts_Replaced,Cost_Rupees
2024-04-25,Machine-M1,Breakdown,2024-04-25,6.5,Motor overheating and failure to start,Rajesh Kumar,"Motor-M12, Capacitor-C3",32000
2024-04-26,Machine-M1,Preventive,,1.0,Motor inspection and lubrication after breakdown,Priya Sharma,,800
2024-05-02,Machine-M1,Preventive,,1.5,Scheduled inspection and minor adjustments after recent breakdown.,Rajesh Kumar,,750
2024-05-02,Machine-M1,Preventive,,1.5,Inspection and lubrication of moving parts after breakdown,Rajesh Kumar,"Lubricant-X200, Filter-F1",3200
2024-05-03,Machine-M3,Routine Check,,0.5,Checking belt tension and alignment,Priya Sharma,,600
2024-05-03,Machine-M1,Breakdown,2024-05-03,6.5,Motor overheating and sparking. Suspect winding failure.,Rajesh Kumar,"Motor-22B, Connector-X1",28500
2024-05-04,Machine-M1,Preventive,,1.5,"Post-breakdown inspection, lubrication and minor adjustments.",Priya Sharma,,1200
2024-05-05,Machine-M3,Routine Check,,0.5,Standard visual inspection and sensor calibration.,Rajesh Kumar,,600
2024-05-05,Machine-M1,Preventive,,1.5,Scheduled lubrication and filter replacement,Rajesh Kumar,"Filter-A1, Oil-X2",1200
2024-05-06,Machine-M3,Routine Check,,0.5,Visual inspection and belt tension adjustment,Priya Sharma,,600
2024-05-07,Machine-M1,Breakdown,2024-05-07,6.0,Motor overheating and failure,Rajesh Kumar,"Motor-M12, Fan-F3",22000
2024-05-08,Machine-M2,Routine Check,,0.75,Check alignment and vibration analysis,Priya Sharma,,750
2024-05-09,Machine-M4,Routine Check,,0.5,Sensor calibration and cleaning,Rajesh Kumar,,550
2024-05-10,Machine-M1,Preventive,,1.0,Electrical system inspection and tightening connections,Priya Sharma,,800
2024-05-11,Machine-M5,Routine Check,,0.75,Fluid level check and top-up,Rajesh Kumar,Oil-X1,650
2024-05-12,Machine-M3,Preventive,,1.25,Belt replacement and pulley alignment,Priya Sharma,"Belt-B3, Pulley-P1",1500
2024-05-13,Machine-M2,Breakdown,2024-05-13,4.5,Pump seal failure,Rajesh Kumar,"Seal-S2, Gasket-G1",18000
2024-05-14,Machine-M4,Routine Check,,0.5,Check for leaks and unusual noises,Priya Sharma,,500
2024-05-15,Machine-M5,Routine Check,,0.6,Tighten bolts and check for wear,Rajesh Kumar,,550
2024-05-16,Machine-M1,Routine Check,,0.75,Checking safety interlocks,Priya Sharma,,750
2024-05-17,Machine-M3,Routine Check,,0.5,Grease fittings,Rajesh Kumar,Grease-1,500
2024-05-18,Machine-M2,Preventive,,1.75,Inspecting pump and replacing worn components,Priya Sharma,"Valve-V2, Filter-F4",2000
2024-05-19,Machine-M4,Breakdown,2024-05-19,3.5,Control panel malfunction,Rajesh Kumar,"Relay-R1, Fuse-F1",15000
2024-05-20,Machine-M5,Routine Check,,0.5,Checking oil levels,Priya Sharma,,500
2024-05-21,Machine-M1,Routine Check,,0.6,Visual inspection for damage,Rajesh Kumar,,550
2024-05-22,Machine-M3,Preventive,,1.0,Checking safety guards,Priya Sharma,,800
2024-05-23,Machine-M2,Routine Check,,0.75,Monitor temperature and pressure,Rajesh Kumar,,750
2024-05-24,Machine-M4,Preventive,,1.5,Calibrating the control system,Priya Sharma,,1200
2024-05-25,Machine-M5,Breakdown,2024-05-25,5.0,Bearing failure,Rajesh Kumar,Bearing-201,20000
2024-05-26,Machine-M1,Routine Check,,0.5,Checking for excessive vibrations,Priya Sharma,,500
2024-05-27,Machine-M3,Routine Check,,0.6,Lubrication,Rajesh Kumar,Grease-2,550
2024-05-28,Machine-M2,Routine Check,,0.5,Inspect filters,Priya Sharma,,500
2024-05-29,Machine-M4,Routine Check,,0.75,Check sensors,Rajesh Kumar,,750
2024-05-30,Machine-M5,Preventive,,1.25,Bearing replacement and shaft alignment,Priya Sharma,"Bearing-202, Grease-3",3000
2024-05-31,Machine-M1,Breakdown,2024-05-31,8.0,"Complete electrical failure, transformer burnout",Rajesh Kumar,"Transformer-T1, Fuse-F2, Relay-R2",45000
2024-06-01,Machine-M3,Routine Check,,0.5,Visual inspection of cooling system,Priya Sharma,,600
2024-06-02,Machine-M2,Routine Check,,0.6,Check for corrosion,Rajesh Kumar,,550
2024-06-03,Machine-M4,Preventive,,1.0,Check wiring,Priya Sharma,,900
2024-06-01,Machine-M1,Breakdown,2024-06-01,7.5,Bearing failure in main drive shaft.,Rajesh Kumar,"Bearing-205, Seal-302",32000
