id,category,question,sql_formula,excel_formula,calculation_steps,answer_format,correct_answer,related_tables,related_columns,created_at
Easy_1,Easy,What is the average downtime in minutes per shift across all production lines?,"SELECT Shift, AVG(Downtime_Minutes) FROM production_logs GROUP BY Shift","=AVERAGEIF(production_logs[Shift],""Morning"", production_logs[Downtime_Minutes]) & "", "" & AVERAGEIF(production_logs[Shift],""Afternoon"", production_logs[Downtime_Minutes]) & "", "" & AVERAGEIF(production_logs[Shift],""Night"", production_logs[Downtime_Minutes])",Group the production_logs table by Shift | Calculate the average Downtime_Minutes for each shift.,"Averages for Morning, Afternoon and Night shifts (minutes)","{'Afternoon': 12.783269961977187, 'Morning': 14.745387453874539, 'Night': 9.643410852713178}",production_logs,"Shift, Downtime_Minutes",2025-11-28T12:31:56.067562
Easy_2,Easy,What is the total cost of maintenance for Machine-M1 in 2026?,"SELECT SUM(Cost_Rupees) FROM maintenance_logs WHERE Machine = 'Machine-M1' AND strftime('%Y', Maintenance_Date) = '2026'","=SUMIFS(maintenance_logs[Cost_Rupees], maintenance_logs[Machine], ""Machine-M1"", maintenance_logs[Maintenance_Date], "">=2026-01-01"", maintenance_logs[Maintenance_Date], ""<=2026-12-31"")",Filter maintenance_logs for Machine = 'Machine-M1' | Filter for dates in 2026 | Sum the Cost_Rupees column,integer (total cost in Rupees),504180,maintenance_logs,"Machine, Cost_Rupees, Maintenance_Date",2025-11-28T12:31:56.074469
Easy_3,Easy,Which material has the highest average consumption per day in July 2026?,"SELECT Material_Name FROM inventory_logs WHERE strftime('%Y-%m', Date) = '2026-07' GROUP BY Material_Name ORDER BY AVG(Consumption_Kg) DESC LIMIT 1","INDEX(inventory_logs[Material_Name], MATCH(MAX(AVERAGEIFS(inventory_logs[Consumption_Kg], inventory_logs[Date], "">=2026-07-01"", inventory_logs[Date], ""<=2026-07-31"")), AVERAGEIFS(inventory_logs[Consumption_Kg], inventory_logs[Date], "">=2026-07-01"", inventory_logs[Date], ""<=2026-07-31""), 0))",Filter inventory_logs for dates in July 2026 | Group the data by Material_Name | Calculate the average Consumption_Kg for each material. | Order the results in descending order based on average Consumption_Kg | Select the top Material_Name,Material Name (string),"{'Aluminum Alloy Ingots': 384.45454545454544, 'Aluminum Ingot': 371.1803278688525, 'Aluminum Ingot (Alloy 6061)': 350.0, 'Aluminum Ingots': 1145.0, 'Copper Wire': 390.52, 'Copper Wire (1mm)': 400.0, 'PVC Granules': 552.8953488372093, 'PVC Granules (Industrial Grade)': 1800.0, 'PVC Granules - Grey': 800.0, 'PVC Granules, Extrusion Grade': 800.0, 'Rubber Compund': 583.1666666666666, 'Steel Sheet 101': 795.3734939759037, 'Steel Sheet 101 (Galvanized)': 1200.0, 'Steel Sheet 101 - 2mm': 1500.0, 'Steel Sheet 101, Grade A': 1500.0, 'Synthetic Rubber': 312.63157894736844, 'Synthetic Rubber Blend': 335.6666666666667, 'Synthetic Rubber Compound': 234.28571428571428, 'Synthetic Rubber Roll': 295.5, 'Synthetic Rubber, High Tensile': 300.0}",inventory_logs,"Material_Name, Consumption_Kg, Date",2025-11-28T12:31:56.077549
Easy_4,Easy,What is the total number of components reworked in Line-2?,SELECT SUM(Rework_Count) FROM quality_control WHERE Line = 'Line-2',"=SUMIF(quality_control[Line], ""Line-2"", quality_control[Rework_Count])",Filter quality_control for Line = 'Line-2' | Sum the Rework_Count column,integer (total rework count),333,quality_control,"Line, Rework_Count",2025-11-28T12:31:56.078420
Easy_5,Easy,How many breakdown maintenances were performed on Machine-M2 in Q3 2026?,"SELECT COUNT(*) FROM maintenance_logs WHERE Machine = 'Machine-M2' AND Maintenance_Type = 'Breakdown' AND strftime('%m', Maintenance_Date) BETWEEN '07' AND '09' AND strftime('%Y', Maintenance_Date) = '2026'","=COUNTIFS(maintenance_logs[Machine], ""Machine-M2"", maintenance_logs[Maintenance_Type], ""Breakdown"", maintenance_logs[Maintenance_Date], "">=2026-07-01"", maintenance_logs[Maintenance_Date], ""<=2026-09-30"")","Filter maintenance_logs for Machine = 'Machine-M2' | Filter for Maintenance_Type = 'Breakdown' | Filter for dates between July 1, 2026 and September 30, 2026 | Count the number of rows",integer (number of breakdowns),8,maintenance_logs,"Machine, Maintenance_Type, Maintenance_Date",2025-11-28T12:31:56.079230
Easy_6,Easy,What is the total target quantity for all products on Line-1/Machine-M1?,SELECT SUM(Target_Qty) FROM production_logs WHERE Line_Machine = 'Line-1/Machine-M1',"=SUMIF(production_logs[Line_Machine], ""Line-1/Machine-M1"", production_logs[Target_Qty])",Filter production_logs for Line_Machine = 'Line-1/Machine-M1' | Sum the Target_Qty column,integer (total target quantity),46640,production_logs,"Line_Machine, Target_Qty",2025-11-28T12:31:56.080217
Easy_7,Easy,Who is the inspector that inspected the most units?,SELECT Inspector_Name FROM quality_control GROUP BY Inspector_Name ORDER BY SUM(Inspected_Qty) DESC LIMIT 1,"INDEX(quality_control[Inspector_Name], MATCH(MAX(SUMIF(quality_control[Inspector_Name], UNIQUE(quality_control[Inspector_Name]), quality_control[Inspected_Qty])), SUMIF(quality_control[Inspector_Name], UNIQUE(quality_control[Inspector_Name]), quality_control[Inspected_Qty]), 0))",Group quality_control by Inspector_Name. | Sum Inspected_Qty for each inspector. | Order the results in descending order. | Select the top Inspector_Name.,Inspector Name (string),"{'Amit Patel': 19709, 'Priya Sharma': 20271, 'Rajesh Kumar': 21473}",quality_control,"Inspector_Name, Inspected_Qty",2025-11-28T12:31:56.080738
Easy_8,Easy,What is the average unit cost of Steel-101?,SELECT AVG(Unit_Cost_Rupees) FROM inventory_logs WHERE Material_Code = 'Steel-101',"=AVERAGEIF(inventory_logs[Material_Code], ""Steel-101"", inventory_logs[Unit_Cost_Rupees])",Filter inventory_logs for Material_Code = 'Steel-101' | Calculate the average of Unit_Cost_Rupees,decimal (average unit cost),236.02,inventory_logs,"Material_Code, Unit_Cost_Rupees",2025-11-28T12:31:56.081645
Easy_9,Easy,What is the minimum closing stock of PVC Granules?,SELECT MIN(Closing_Stock_Kg) FROM inventory_logs WHERE Material_Name LIKE '%PVC Granules%',"=MINIF(inventory_logs[Material_Name], ""*PVC Granules*"", inventory_logs[Closing_Stock_Kg])",Filter inventory_logs for Material_Name containing 'PVC Granules' | Find the minimum of Closing_Stock_Kg,integer (minimum closing stock in Kg),272,inventory_logs,"Material_Name, Closing_Stock_Kg",2025-11-28T12:31:56.082378
Easy_10,Easy,What is the most frequent Defect_Type?,SELECT Defect_Type FROM quality_control GROUP BY Defect_Type ORDER BY COUNT(*) DESC LIMIT 1,"INDEX(quality_control[Defect_Type], MODE(MATCH(quality_control[Defect_Type], UNIQUE(quality_control[Defect_Type]),0)))",Group quality_control by Defect_Type | Count the occurrences of each Defect_Type | Order the results in descending order | Select the top Defect_Type,Defect Type (string),"{'Assembly Error': 99, 'Dimensional': 139, 'Material Defect': 92, 'Packaging Issue': 57, 'Surface Finish': 140}",quality_control,Defect_Type,2025-11-28T12:31:56.083099
